Designator,Mid X,Mid Y,Rotation,Layer
D1,54.76875,94.2975,90.0,top
D10,221.45625,93.82125,90.0,top
D11,30.95625,70.00875,90.0,top
D12,50.00625,70.00875,90.0,top
D13,69.05625,70.00875,90.0,top
D14,88.10625,70.00875,90.0,top
D15,107.15625,70.00875,90.0,top
D16,126.20625,70.00875,90.0,top
D17,145.25625,70.00875,90.0,top
D18,164.30625,70.00875,90.0,top
D19,183.35625,70.00875,90.0,top
D2,78.58125,94.2975,90.0,top
D20,202.40625,70.00875,90.0,top
D21,221.45625,70.00875,90.0,top
D22,227.17125,64.29375,0.0,top
D23,33.3375,50.95875,90.0,top
D24,54.76875,50.95875,90.0,top
D25,73.81875,50.95875,90.0,top
D26,92.86875,50.95875,90.0,top
D27,111.91875,50.95875,90.0,top
D28,130.96875,50.95875,90.0,top
D29,150.01875,50.95875,90.0,top
D3,97.63125,93.82125,90.0,top
D30,169.06875,50.95875,90.0,top
D31,188.11875,50.95875,90.0,top
D32,207.16875,50.95875,90.0,top
D33,233.3625,50.95875,90.0,top
D34,38.1,31.90875,90.0,top
D35,64.29375,31.90875,90.0,top
D36,83.34375,31.90875,90.0,top
D37,102.39375,31.90875,90.0,top
D38,121.44375,31.90875,90.0,top
D39,140.49375,31.90875,90.0,top
D4,116.68125,93.82125,90.0,top
D40,159.54375,31.90875,90.0,top
D41,178.59375,31.90875,90.0,top
D42,197.64375,31.90875,90.0,top
D43,216.69375,31.90875,90.0,top
D44,238.125,31.90875,90.0,top
D45,33.3375,12.85875,90.0,top
D46,54.76875,12.85875,90.0,top
D47,76.2,12.85875,90.0,top
D48,130.96875,12.85875,90.0,top
D49,173.83125,12.85875,90.0,top
D5,135.73125,93.82125,90.0,top
D50,195.2625,12.85875,90.0,top
D51,216.69375,12.85875,90.0,top
D52,238.125,12.85875,90.0,top
D6,159.54375,93.82125,90.0,top
D7,178.59375,93.82125,90.0,top
D8,197.64375,93.82125,90.0,top
D9,216.69375,93.82125,90.0,top
MX1,45.24375,97.63125,0.0,top
MX10,230.98125,97.63125,0.0,top
MX11,21.43125,73.81875,0.0,top
MX12,40.48125,73.81875,0.0,top
MX13,59.53125,73.81875,0.0,top
MX14,78.58125,73.81875,0.0,top
MX15,97.63125,73.81875,0.0,top
MX16,116.68125,73.81875,0.0,top
MX17,135.73125,73.81875,0.0,top
MX18,154.78125,73.81875,0.0,top
MX19,173.83125,73.81875,0.0,top
MX2,69.05625,97.63125,0.0,top
MX20,192.88125,73.81875,0.0,top
MX21,211.93125,73.81875,0.0,top
MX22,230.98125,73.81875,0.0,top
MX23,23.8125,54.76875,0.0,top
MX24,45.24375,54.76875,0.0,top
MX25,64.29375,54.76875,0.0,top
MX26,83.34375,54.76875,0.0,top
MX27,102.39375,54.76875,0.0,top
MX28,121.44375,54.76875,0.0,top
MX29,140.49375,54.76875,0.0,top
MX3,88.10625,97.63125,0.0,top
MX30,159.54375,54.76875,0.0,top
MX31,178.59375,54.76875,0.0,top
MX32,197.64375,54.76875,0.0,top
MX33,223.8375,54.76875,0.0,top
MX34,28.575,35.71875,0.0,top
MX35,54.76875,35.71875,0.0,top
MX36,73.81875,35.71875,0.0,top
MX37,92.86875,35.71875,0.0,top
MX38,111.91875,35.71875,0.0,top
MX39,130.96875,35.71875,0.0,top
MX4,107.15625,97.63125,0.0,top
MX40,150.01875,35.71875,0.0,top
MX41,169.06875,35.71875,0.0,top
MX42,188.11875,35.71875,0.0,top
MX43,207.16875,35.71875,0.0,top
MX44,228.6,35.71875,0.0,top
MX45,23.8125,16.66875,0.0,top
MX46,45.24375,16.66875,0.0,top
MX47,66.675,16.66875,0.0,top
MX48,104.775,16.66875,0.0,top
MX49,152.4,16.66875,0.0,top
MX5,126.20625,97.63125,0.0,top
MX50,185.7375,16.66875,0.0,top
MX51,207.16875,16.66875,0.0,top
MX52,228.6,16.66875,0.0,top
MX6,150.01875,97.63125,0.0,top
MX7,169.06875,97.63125,0.0,top
MX8,188.11875,97.63125,0.0,top
MX9,207.16875,97.63125,0.0,top
