Designator,Mid X,Mid Y,Rotation,Layer
D1,-19.08834,10.587304,350.0,top
D10,-77.851101,6.440857,350.0,top
D11,-97.438688,5.058708,350.0,top
D12,-117.026276,3.676559,350.0,top
D13,-25.704335,-26.933871,350.0,top
D14,-43.637924,-18.935726,350.0,top
D15,-61.571512,-10.937582,350.0,top
D16,-81.159099,-12.319731,350.0,top
D17,-100.746686,-13.70188,350.0,top
D18,-120.334273,-15.084029,350.0,top
D19,9.240262,8.850823,10.0,top
D2,-37.021928,18.585449,350.0,top
D20,27.173851,16.848967,10.0,top
D21,45.107439,24.847112,10.0,top
D22,64.695026,23.464963,10.0,top
D23,84.282613,22.082814,10.0,top
D24,103.8702,20.700665,10.0,top
D25,12.54826,-9.909765,10.0,top
D26,30.481848,-1.91162,10.0,top
D27,48.415437,6.086524,10.0,top
D28,68.003024,4.704375,10.0,top
D29,87.590611,3.322226,10.0,top
D3,-54.955516,26.583594,350.0,top
D30,107.178198,1.940077,10.0,top
D31,15.856258,-28.670353,10.0,top
D32,33.789846,-20.672208,10.0,top
D33,51.723434,-12.674063,10.0,top
D34,71.311022,-14.056213,10.0,top
D35,90.898609,-15.438362,10.0,top
D36,110.486196,-16.820511,10.0,top
D37,-82.407511,-39.162588,350.0,top
D38,-54.117067,-50.939755,350.0,top
D39,-19.2875,-54.265982,0.0,top
D4,-74.543104,25.201445,350.0,top
D40,9.2875,-54.265982,0.0,top
D41,44.268989,-52.676237,10.0,top
D42,72.842007,-40.79657,10.0,top
D5,-94.130691,23.819295,350.0,top
D6,-113.718278,22.437146,350.0,top
D7,-22.396338,-8.173283,350.0,top
D8,-40.329926,-0.175139,350.0,top
D9,-58.263514,7.823006,350.0,top
MX1,-12.688291,18.089929,350.0,top
MX10,-71.451053,13.943481,350.0,top
MX11,-91.03864,12.561332,350.0,top
MX12,-110.626227,11.179183,350.0,top
MX13,-19.304287,-19.431247,350.0,top
MX14,-37.237875,-11.433102,350.0,top
MX15,-55.171464,-3.434957,350.0,top
MX16,-74.759051,-4.817106,350.0,top
MX17,-94.346638,-6.199256,350.0,top
MX18,-113.934225,-7.581405,350.0,top
MX19,12.688292,18.089929,10.0,top
MX2,-30.62188,26.088073,350.0,top
MX20,30.62188,26.088074,10.0,top
MX21,48.555469,34.086218,10.0,top
MX22,68.143056,32.704069,10.0,top
MX23,87.730643,31.32192,10.0,top
MX24,107.31823,29.939771,10.0,top
MX25,15.99629,-0.670659,10.0,top
MX26,33.929878,7.327486,10.0,top
MX27,51.863466,15.325631,10.0,top
MX28,71.451054,13.943482,10.0,top
MX29,91.038641,12.561332,10.0,top
MX3,-48.555468,34.086218,350.0,top
MX30,110.626228,11.179183,10.0,top
MX31,19.304288,-19.431246,10.0,top
MX32,37.237876,-11.433102,10.0,top
MX33,55.171464,-3.434957,10.0,top
MX34,74.759051,-4.817106,10.0,top
MX35,94.346638,-6.199255,10.0,top
MX36,113.934226,-7.581404,10.0,top
MX37,-76.2,-31.478482,350.0,top
MX38,-47.717018,-43.437131,350.0,top
MX39,-14.2875,-45.765982,0.0,top
MX4,-68.143055,32.704069,350.0,top
MX40,14.2875,-45.765982,0.0,top
MX41,47.717019,-43.437131,10.0,top
MX42,76.2,-31.478482,10.0,top
MX5,-87.730642,31.32192,350.0,top
MX6,-107.318229,29.939771,350.0,top
MX7,-15.996289,-0.670659,350.0,top
MX8,-33.929878,7.327486,350.0,top
MX9,-51.863466,15.32563,350.0,top
