Designator,Mid X,Mid Y,Rotation,Layer
D1,80.971098,-95.128012,350.0,top
D10,293.771227,-94.62114,10.0,top
D11,314.185814,-100.693436,10.0,top
D12,332.946402,-97.385438,10.0,top
D13,77.6631,-113.8886,350.0,top
D14,96.423688,-117.196598,350.0,top
D15,116.838274,-111.124301,350.0,top
D16,136.425861,-109.742152,350.0,top
D17,154.35945,-117.740297,350.0,top
D18,172.293038,-125.738442,350.0,top
D19,241.624461,-127.995868,10.0,top
D2,99.731685,-98.43601,350.0,top
D20,259.55805,-119.997723,10.0,top
D21,277.491638,-111.999579,10.0,top
D22,297.079225,-113.381728,10.0,top
D23,317.493812,-119.454024,10.0,top
D24,336.254399,-116.146026,10.0,top
D25,74.355102,-132.649187,350.0,top
D26,93.11569,-135.957185,350.0,top
D27,113.530276,-129.884889,350.0,top
D28,133.117864,-128.50274,350.0,top
D29,151.051452,-136.500885,350.0,top
D3,120.146272,-92.363714,350.0,top
D30,168.98504,-144.499029,350.0,top
D31,244.932459,-146.756456,10.0,top
D32,262.866047,-138.758311,10.0,top
D33,280.799636,-130.760166,10.0,top
D34,300.387223,-132.142315,10.0,top
D35,320.801809,-138.214611,10.0,top
D36,339.562397,-134.906614,10.0,top
D37,73.717883,-153.008401,350.0,top
D38,89.807692,-154.717773,350.0,top
D39,110.222279,-148.645477,350.0,top
D4,139.733859,-90.981565,350.0,top
D40,135.4225,-160.975,0.0,top
D41,154.4725,-165.7375,0.0,top
D42,185.42875,-170.5,0.0,top
D43,228.29125,-170.5,0.0,top
D44,259.2475,-165.7375,0.0,top
D45,278.2975,-160.975,0.0,top
D46,303.695221,-150.902903,10.0,top
D47,324.109807,-156.975199,10.0,top
D48,342.870395,-153.667201,10.0,top
D5,157.667447,-98.979709,350.0,top
D6,175.601036,-106.977854,350.0,top
D7,238.316464,-109.23528,10.0,top
D8,256.250052,-101.237136,10.0,top
D9,274.18364,-93.238991,10.0,top
MX1,88.935182,-87.393456,350.0,top
MX10,298.609645,-84.629157,10.0,top
MX11,319.024231,-90.701453,10.0,top
MX12,337.784819,-87.393456,10.0,top
MX13,85.627184,-106.154044,350.0,top
MX14,104.387772,-109.462041,350.0,top
MX15,124.802358,-103.389745,350.0,top
MX16,144.389945,-102.007596,350.0,top
MX17,162.323534,-110.005741,350.0,top
MX18,180.257122,-118.003886,350.0,top
MX19,246.462879,-118.003885,10.0,top
MX2,107.695769,-90.701454,350.0,top
MX20,264.396467,-110.005741,10.0,top
MX21,282.330055,-102.007596,10.0,top
MX22,301.917642,-103.389745,10.0,top
MX23,322.332229,-109.462041,10.0,top
MX24,341.092817,-106.154043,10.0,top
MX25,82.319186,-124.914631,350.0,top
MX26,101.079774,-128.222629,350.0,top
MX27,121.494361,-122.150333,350.0,top
MX28,141.081948,-120.768184,350.0,top
MX29,159.015536,-128.766329,350.0,top
MX3,128.110356,-84.629158,350.0,top
MX30,176.949124,-136.764473,350.0,top
MX31,249.770876,-136.764473,10.0,top
MX32,267.704465,-128.766328,10.0,top
MX33,285.638053,-120.768184,10.0,top
MX34,305.22564,-122.150333,10.0,top
MX35,325.640227,-128.222629,10.0,top
MX36,344.400814,-124.914631,10.0,top
MX37,79.011188,-143.675219,350.0,top
MX38,97.771776,-146.983217,350.0,top
MX39,118.186363,-140.910921,350.0,top
MX4,147.697943,-83.247009,350.0,top
MX40,141.9225,-151.975,0.0,top
MX41,160.9725,-156.7375,0.0,top
MX42,191.92875,-161.5,0.0,top
MX43,234.79125,-161.5,0.0,top
MX44,265.7475,-156.7375,0.0,top
MX45,284.7975,-151.975,0.0,top
MX46,308.533638,-140.91092,10.0,top
MX47,328.948225,-146.983216,10.0,top
MX48,347.708812,-143.675219,10.0,top
MX5,165.631531,-91.245153,350.0,top
MX6,183.56512,-99.243298,350.0,top
MX7,243.154881,-99.243298,10.0,top
MX8,261.088469,-91.245153,10.0,top
MX9,279.022057,-83.247008,10.0,top
