Designator,Mid X,Mid Y,Rotation,Layer
D1,113.3765,-107.8218,75.0,top
D10,268.5891,-113.0825,105.0,top
D11,288.222574,-112.752256,105.0,top
D12,306.623461,-107.821753,105.0,top
D13,106.1459,-125.6063,75.0,top
D14,126.8469,-131.1531,75.0,top
D15,146.4804,-131.4834,75.0,top
D16,166.114,-131.8137,75.0,top
D17,183.2822,-141.3444,75.0,top
D18,200.4505,-150.8752,75.0,top
D19,219.5495,-150.8752,105.0,top
D2,131.7774,-112.7523,75.0,top
D20,236.7178,-141.3444,105.0,top
D21,253.8861,-131.8137,105.0,top
D22,273.5196,-131.4834,105.0,top
D23,293.1531,-131.1531,105.0,top
D24,313.8541,-125.6063,105.0,top
D25,101.2154,-144.0072,75.0,top
D26,121.9164,-149.554,75.0,top
D27,142.536,-150.0141,75.0,top
D28,161.1834,-150.2146,75.0,top
D29,178.3517,-159.7453,75.0,top
D3,151.4109,-113.0825,75.0,top
D30,195.52,-169.276,75.0,top
D31,224.48,-169.276,105.0,top
D32,241.6483,-159.7453,105.0,top
D33,258.8166,-150.2146,105.0,top
D34,278.4501,-149.8843,105.0,top
D35,298.0836,-149.554,105.0,top
D36,318.7846,-144.0072,105.0,top
D37,96.2849,-162.4081,75.0,top
D38,119.286,-168.5712,75.0,top
D39,142.2871,-174.7344,75.0,top
D4,171.0445,-113.4128,75.0,top
D40,175.5562,-188.5793,75.0,top
D41,227.438,-195.31,90.0,top
D42,244.4438,-188.5793,105.0,top
D43,284.6132,-172.8854,105.0,top
D44,303.0141,-167.9549,105.0,top
D45,321.415,-163.0244,105.0,top
D5,188.2127,-122.9435,75.0,top
D6,205.381,-132.4743,75.0,top
D7,214.619,-132.4743,105.0,top
D8,231.7873,-122.9435,105.0,top
D9,248.9555,-113.4128,105.0,top
MX1,105.6693,-101.8122,345.0,top
MX10,276.2963,-107.073,15.0,top
MX11,295.9298,-106.7427,15.0,top
MX12,314.3307,-101.8122,15.0,top
MX13,98.4387,-119.5968,345.0,top
MX14,119.1397,-125.1436,345.0,top
MX15,138.7732,-125.4739,345.0,top
MX16,158.4067,-125.8042,345.0,top
MX17,175.575,-135.3349,345.0,top
MX18,192.7432,-144.8656,345.0,top
MX19,227.2568,-144.8656,15.0,top
MX2,124.0702,-106.7427,345.0,top
MX20,244.425,-135.3349,15.0,top
MX21,261.5933,-125.8042,15.0,top
MX22,281.2268,-125.4739,15.0,top
MX23,300.8603,-125.1436,15.0,top
MX24,321.5613,-119.5968,15.0,top
MX25,93.5082,-137.9977,345.0,top
MX26,114.2092,-143.5445,345.0,top
MX27,133.8427,-143.8748,345.0,top
MX28,153.4762,-144.205,345.0,top
MX29,170.6445,-153.7358,345.0,top
MX3,143.7037,-107.073,345.0,top
MX30,187.8127,-163.2665,345.0,top
MX31,232.1873,-163.2665,15.0,top
MX32,249.3555,-153.7358,15.0,top
MX33,266.5238,-144.205,15.0,top
MX34,286.1573,-143.8748,15.0,top
MX35,305.7908,-143.5445,15.0,top
MX36,326.4918,-137.9977,15.0,top
MX37,88.5777,-156.3986,345.0,top
MX38,111.5788,-162.5617,345.0,top
MX39,134.5799,-168.7248,345.0,top
MX4,163.3372,-107.4033,345.0,top
MX40,167.8489,-182.5697,345.0,top
MX41,210.0,-190.0,0.0,top
MX42,252.1511,-182.5697,15.0,top
MX43,292.3204,-166.8759,15.0,top
MX44,310.7213,-161.9454,15.0,top
MX45,329.1222,-157.0149,15.0,top
MX5,180.5055,-116.934,345.0,top
MX6,197.6737,-126.4647,345.0,top
MX7,222.3263,-126.4647,15.0,top
MX8,239.4945,-116.934,15.0,top
MX9,256.6628,-107.4033,15.0,top
