Designator,Mid X,Mid Y,Rotation,Layer
D1,12.7492,61.3267,180.0,top
D10,184.1992,61.3267,180.0,top
D11,203.2492,61.3267,180.0,top
D12,222.2992,61.3267,180.0,top
D13,15.1305,42.2767,180.0,top
D14,36.5617,42.2767,180.0,top
D15,55.6117,42.2767,180.0,top
D16,74.6617,42.2767,180.0,top
D17,93.7117,42.2767,180.0,top
D18,112.7617,42.2767,180.0,top
D19,131.8117,42.2767,180.0,top
D2,31.7992,61.3267,180.0,top
D20,150.8617,42.2767,180.0,top
D21,169.9117,42.2767,180.0,top
D22,188.9617,42.2767,180.0,top
D23,215.1555,42.2767,180.0,top
D24,19.893,23.2267,180.0,top
D25,46.0867,23.2267,180.0,top
D26,65.1367,23.2267,180.0,top
D27,70.8517,28.9417,90.0,top
D28,89.9017,28.9417,90.0,top
D29,128.0017,28.9417,90.0,top
D3,50.8492,61.3267,180.0,top
D30,147.0517,28.9417,90.0,top
D31,166.1017,28.9417,90.0,top
D32,179.4367,23.2267,180.0,top
D33,198.4867,23.2267,180.0,top
D34,219.918,24.7517,180.0,top
D35,15.1305,4.1767,180.0,top
D36,38.943,4.1767,180.0,top
D37,60.3742,4.1767,180.0,top
D38,74.32,8.3917,90.0,top
D39,157.871,8.3917,90.0,top
D4,69.8992,61.3267,180.0,top
D40,177.0555,4.1767,180.0,top
D41,200.868,4.1767,180.0,top
D42,232.7767,5.1292,90.0,top
D43,232.7767,24.1792,90.0,top
D44,251.8267,5.1292,90.0,top
D45,270.8767,5.1292,90.0,top
D46,269.9242,61.3267,180.0,top
D47,269.9242,42.2767,180.0,top
D48,269.9242,23.2267,180.0,top
D5,88.9492,61.3267,180.0,top
D6,107.9992,61.3267,180.0,top
D7,127.0492,61.3267,180.0,top
D8,146.0992,61.3267,180.0,top
D9,165.1492,61.3267,180.0,top
MX1,8.9392,70.8517,0.0,top
MX10,180.3892,70.8517,0.0,top
MX11,199.4392,70.8517,0.0,top
MX12,218.4892,70.8517,0.0,top
MX13,11.3205,51.8017,0.0,top
MX14,32.7517,51.8017,0.0,top
MX15,51.8017,51.8017,0.0,top
MX16,70.8517,51.8017,0.0,top
MX17,89.9017,51.8017,0.0,top
MX18,108.9517,51.8017,0.0,top
MX19,128.0017,51.8017,0.0,top
MX2,27.9892,70.8517,0.0,top
MX20,147.0517,51.8017,0.0,top
MX21,166.1017,51.8017,0.0,top
MX22,185.1517,51.8017,0.0,top
MX23,211.3455,51.8017,0.0,top
MX24,16.083,32.7517,0.0,top
MX25,42.2767,32.7517,0.0,top
MX26,61.3267,32.7517,0.0,top
MX27,80.3767,32.7517,0.0,top
MX28,99.4267,32.7517,0.0,top
MX29,118.4767,32.7517,0.0,top
MX3,47.0392,70.8517,0.0,top
MX30,137.5267,32.7517,0.0,top
MX31,156.5767,32.7517,0.0,top
MX32,175.6267,32.7517,0.0,top
MX33,194.6767,32.7517,0.0,top
MX34,216.108,32.7517,0.0,top
MX35,11.3205,13.7017,0.0,top
MX36,35.133,13.7017,0.0,top
MX37,56.5642,13.7017,0.0,top
MX38,92.283,13.7017,0.0,top
MX39,139.908,13.7017,0.0,top
MX4,66.0892,70.8517,0.0,top
MX40,173.2455,13.7017,0.0,top
MX41,197.058,13.7017,0.0,top
MX42,223.2517,8.9392,0.0,top
MX43,242.3017,27.9892,0.0,top
MX44,242.3017,8.9392,0.0,top
MX45,261.3517,8.9392,0.0,top
MX46,266.1142,70.8517,0.0,top
MX47,266.1142,51.8017,0.0,top
MX48,266.1142,32.7517,0.0,top
MX5,85.1392,70.8517,0.0,top
MX6,104.1892,70.8517,0.0,top
MX7,123.2392,70.8517,0.0,top
MX8,142.2892,70.8517,0.0,top
MX9,161.3392,70.8517,0.0,top
OLED1,248.1867,76.67,270.0,top
