Designator,Mid X,Mid Y,Rotation,Layer
D1,69.215,93.98,90.0,top
D10,235.9025,93.98,90.0,top
D11,31.115,70.1675,90.0,top
D12,54.9275,70.1675,90.0,top
D13,73.9775,70.1675,90.0,top
D14,93.0275,70.1675,90.0,top
D15,112.0775,70.1675,90.0,top
D16,131.1275,70.1675,90.0,top
D17,150.1775,70.1675,90.0,top
D18,169.2275,70.1675,90.0,top
D19,188.2775,70.1675,90.0,top
D2,93.0275,93.98,90.0,top
D20,207.3275,70.1675,90.0,top
D21,226.3775,70.1675,90.0,top
D22,250.19,70.1675,90.0,top
D23,33.49625,51.1175,90.0,top
D24,59.69,51.1175,90.0,top
D25,78.74,51.1175,90.0,top
D26,97.79,51.1175,90.0,top
D27,116.84,51.1175,90.0,top
D28,135.89,51.1175,90.0,top
D29,154.94,51.1175,90.0,top
D3,112.0775,93.98,90.0,top
D30,173.99,51.1175,90.0,top
D31,193.04,51.1175,90.0,top
D32,212.09,51.1175,90.0,top
D33,208.28,45.4025,0.0,top
D34,252.57125,51.1175,90.0,top
D35,50.165,32.0675,90.0,top
D36,69.215,32.0675,90.0,top
D37,88.265,32.0675,90.0,top
D38,107.315,32.0675,90.0,top
D39,126.365,32.0675,90.0,top
D4,131.1275,93.98,90.0,top
D40,144.115,32.0675,90.0,top
D41,164.465,32.0675,90.0,top
D42,183.515,32.0675,90.0,top
D43,202.565,32.0675,90.0,top
D44,221.615,32.0675,90.0,top
D45,247.80875,32.0675,90.0,top
D46,31.115,13.0175,90.0,top
D47,57.30875,13.0175,90.0,top
D48,81.12125,13.0175,90.0,top
D49,135.89,13.0175,90.0,top
D5,150.1775,93.98,90.0,top
D50,178.7525,13.0175,90.0,top
D51,200.18375,13.0175,90.0,top
D52,223.99625,13.0175,90.0,top
D53,250.19,13.0175,90.0,top
D6,173.99,93.98,90.0,top
D7,193.04,93.98,90.0,top
D8,212.09,93.98,90.0,top
D9,231.14,93.98,90.0,top
MX1,59.69,97.79,0.0,top
MX10,245.4275,97.79,0.0,top
MX11,21.59,73.9775,0.0,top
MX12,45.4025,73.9775,0.0,top
MX13,64.4525,73.9775,0.0,top
MX14,83.5025,73.9775,0.0,top
MX15,102.5525,73.9775,0.0,top
MX16,121.6025,73.9775,0.0,top
MX17,140.6525,73.9775,0.0,top
MX18,159.7025,73.9775,0.0,top
MX19,178.7525,73.9775,0.0,top
MX2,83.5025,97.79,0.0,top
MX20,197.8025,73.9775,0.0,top
MX21,216.8525,73.9775,0.0,top
MX22,240.665,73.9775,0.0,top
MX23,23.97125,54.9275,0.0,top
MX24,50.165,54.9275,0.0,top
MX25,69.215,54.9275,0.0,top
MX26,88.265,54.9275,0.0,top
MX27,107.315,54.9275,0.0,top
MX28,126.365,54.9275,0.0,top
MX29,145.415,54.9275,0.0,top
MX3,102.5525,97.79,0.0,top
MX30,164.465,54.9275,0.0,top
MX31,183.515,54.9275,0.0,top
MX32,202.565,54.9275,0.0,top
MX33,221.615,54.9275,0.0,top
MX34,243.04625,54.9275,0.0,top
MX34-1,233.52125,54.9275,0.0,top
MX35,28.73375,35.8775,0.0,top
MX36,59.69,35.8775,0.0,top
MX37,78.74,35.8775,0.0,top
MX38,97.79,35.8775,0.0,top
MX39,116.84,35.8775,0.0,top
MX4,121.6025,97.79,0.0,top
MX40,135.89,35.8775,0.0,top
MX41,154.94,35.8775,0.0,top
MX42,173.99,35.8775,0.0,top
MX43,193.04,35.8775,0.0,top
MX44,212.09,35.8775,0.0,top
MX45,238.28375,35.8775,0.0,top
MX46,21.59,16.8275,0.0,top
MX47,47.78375,16.8275,0.0,top
MX48,71.6375,16.8275,0.0,top
MX49,109.69625,16.8275,0.0,top
MX5,140.6525,97.79,0.0,top
MX50,157.32125,16.8275,0.0,top
MX51,190.65875,16.8275,0.0,top
MX52,214.47125,16.8275,0.0,top
MX53,240.665,16.8275,0.0,top
MX6,164.465,97.79,0.0,top
MX7,183.515,97.79,0.0,top
MX8,202.565,97.79,0.0,top
MX9,221.615,97.79,0.0,top
